faction_id,faction_name,start_date,finish_date,member_mk_ids,knesset
902,המחנה הציוני,2015-11-25,2015-11-25,"[896, 772, 901, 903, 782, 913, 916, 917, 925, 926, 933, 934, 935, 940, 818, 819, 952, 64, 213, 862, 865, 866, 740, 105, 881, 882]",20
907,הבית היהודי,2015-10-10,2015-12-03,"[930, 904, 713, 873, 936, 879, 92, 863]",20
907,הבית היהודי,2015-10-09,2015-10-09,"[864, 930, 904, 713, 873, 936, 879, 92, 863]",20
904,יש עתיד,2015-09-05,2018-02-08,"[897, 899, 868, 900, 874, 875, 876, 878, 887, 860, 927]",20
905,ישראל ביתנו,2015-09-05,2016-05-31,"[832, 837, 78, 214, 951, 793]",20
904,יש עתיד,2015-09-04,2015-09-04,"[897, 899, 868, 900, 874, 875, 876, 878, 886, 887, 860, 927]",20
905,ישראל ביתנו,2015-09-04,2015-09-04,"[832, 837, 78, 214, 951, 920, 793]",20
882,הליכוד,2015-08-28,2015-12-24,"[768, 1, 771, 14, 912, 914, 918, 922, 924, 929, 931, 932, 45, 943, 944, 945, 950, 823, 695, 825, 826, 830, 831, 69, 723, 212, 90, 734, 230, 122]",20
882,הליכוד,2015-08-27,2015-08-27,"[768, 1, 771, 14, 912, 914, 918, 922, 924, 929, 931, 932, 45, 943, 944, 945, 950, 823, 695, 825, 826, 828, 830, 831, 69, 723, 212, 90, 734, 230, 122]",20
909,מרצ,2015-03-31,2017-10-21,"[871, 200, 201, 888, 895]",20
903,הרשימה המשותפת,2015-03-31,2017-03-20,"[867, 937, 938, 780, 844, 846, 909, 208, 756, 948, 919, 857, 923]",20
908,יהדות התורה,2015-03-31,2016-05-23,"[35, 103, 839, 814, 754, 216]",20
906,כולנו,2015-03-31,2016-01-28,"[928, 939, 941, 910, 911, 942, 946, 915, 921, 731]",20
910,"ש""ס",2015-03-31,2016-01-23,"[65, 7, 41, 906, 751, 50, 222]",20
902,המחנה הציוני,2015-03-31,2015-11-24,"[896, 772, 901, 903, 782, 913, 916, 917, 925, 926, 933, 934, 935, 940, 818, 819, 64, 213, 862, 865, 866, 740, 105, 881, 882]",20
907,הבית היהודי,2015-03-31,2015-10-08,"[864, 930, 904, 713, 873, 936, 92, 863]",20
904,יש עתיד,2015-03-31,2015-09-03,"[897, 868, 900, 874, 875, 876, 878, 886, 887, 860, 927]",20
905,ישראל ביתנו,2015-03-31,2015-09-03,"[832, 837, 78, 214, 920, 793]",20
882,הליכוד,2015-03-31,2015-08-26,"[768, 1, 771, 14, 912, 914, 918, 922, 924, 929, 931, 932, 45, 943, 944, 945, 823, 695, 825, 826, 828, 830, 831, 69, 723, 212, 90, 734, 230, 122]",20
803,הבית היהודי,2015-02-17,2015-03-31,"[864, 898, 870, 904, 713, 873, 908, 879, 884, 92, 893, 863]",19
803,הבית היהודי,2015-02-16,2015-02-16,"[864, 898, 870, 904, 713, 873, 908, 845, 879, 884, 92, 893, 863]",19
811,"ש""ס",2015-01-02,2015-03-31,"[65, 7, 906, 907, 206, 751, 784, 50, 210, 222, 63]",19
811,"ש""ס",2015-01-01,2015-01-01,"[65, 7, 41, 906, 907, 206, 751, 784, 50, 210, 222, 63]",19
809,קדימה,2014-12-19,2015-03-31,"[720, 853]",19
809,קדימה,2014-12-18,2014-12-18,"[720, 853, 781]",19
805,העבודה,2014-12-15,2015-03-31,"[64, 865, 866, 896, 740, 901, 903, 782, 880, 881, 818, 882, 758, 797, 862]",19
842,הליכוד,2014-11-06,2015-03-31,"[768, 1, 69, 70, 122, 828, 45, 823, 830, 723, 212, 885, 695, 825, 90, 826, 734, 831]",19
843,ישראל ביתנו,2014-11-05,2015-03-31,"[832, 835, 805, 837, 902, 77, 78, 813, 785, 214, 790, 793, 859]",19
842,הליכוד,2014-08-07,2014-11-05,"[768, 1, 69, 70, 122, 828, 45, 823, 830, 723, 212, 725, 885, 695, 825, 90, 826, 734, 831]",19
843,ישראל ביתנו,2014-08-06,2014-11-04,"[832, 835, 805, 837, 902, 77, 78, 785, 214, 790, 793, 859]",19
842,הליכוד,2014-07-09,2014-08-06,"[768, 1, 69, 70, 122, 828, 45, 823, 830, 723, 212, 725, 885, 695, 825, 90, 826, 829, 734, 831]",19
843,ישראל ביתנו,2014-07-09,2014-08-05,"[832, 835, 805, 837, 902, 77, 78, 214, 790, 793, 859]",19
811,"ש""ס",2014-06-23,2014-12-31,"[65, 7, 41, 906, 206, 751, 784, 50, 210, 222, 63]",19
811,"ש""ס",2014-06-22,2014-06-22,"[65, 7, 41, 906, 206, 751, 784, 50, 210, 791, 222, 63]",19
804,הליכוד ביתנו,2014-06-12,2014-07-09,"[768, 1, 902, 790, 45, 823, 695, 825, 826, 828, 829, 830, 831, 832, 835, 69, 70, 837, 77, 78, 723, 212, 725, 214, 90, 859, 734, 885, 122]",19
804,הליכוד ביתנו,2014-06-10,2014-06-11,"[768, 1, 902, 790, 45, 823, 695, 825, 826, 828, 829, 830, 831, 832, 835, 69, 70, 837, 77, 78, 723, 212, 725, 214, 90, 859, 734, 114, 885, 122]",19
805,העבודה,2014-02-14,2014-12-14,"[64, 865, 866, 896, 740, 901, 903, 782, 880, 881, 818, 882, 20, 758, 797, 862]",19
804,הליכוד ביתנו,2014-02-10,2014-06-09,"[768, 1, 902, 790, 45, 823, 695, 825, 826, 828, 830, 831, 832, 835, 69, 70, 837, 77, 78, 723, 212, 725, 214, 90, 859, 734, 114, 885, 122]",19
802,"בל""ד",2013-02-05,2015-03-31,"[867, 756, 846]",19
806,"חד""ש",2013-02-05,2015-03-31,"[789, 842, 780, 197]",19
807,יהדות התורה,2013-02-05,2015-03-31,"[35, 103, 839, 814, 754, 216, 861]",19
808,מרצ,2013-02-05,2015-03-31,"[871, 200, 201, 843, 888, 895]",19
810,"רע""מ-תע""ל-מד""ע",2013-02-05,2015-03-31,"[208, 857, 800, 844]",19
812,יש עתיד,2013-02-05,2015-03-31,"[897, 868, 869, 900, 872, 892, 874, 875, 876, 877, 878, 905, 883, 886, 887, 889, 891, 860, 894]",19
813,התנועה,2013-02-05,2015-03-31,"[739, 899, 105, 213, 119, 890]",19
803,הבית היהודי,2013-02-05,2015-02-15,"[864, 898, 870, 904, 713, 873, 845, 879, 884, 92, 893, 863]",19
809,קדימה,2013-02-05,2014-12-17,"[720, 781]",19
842,הליכוד,2013-02-05,2014-07-08,[734],19
811,"ש""ס",2013-02-05,2014-06-21,"[65, 7, 41, 206, 751, 784, 50, 210, 791, 222, 63]",19
805,העבודה,2013-02-05,2014-02-13,"[64, 865, 866, 896, 740, 901, 903, 782, 880, 881, 818, 882, 20, 797, 862]",19
804,הליכוד ביתנו,2013-02-05,2014-02-09,"[768, 1, 902, 790, 793, 805, 45, 823, 695, 825, 826, 828, 830, 831, 832, 835, 69, 70, 837, 77, 78, 723, 212, 725, 214, 90, 859, 734, 114, 885, 122]",19
750,העבודה,2012-12-10,2013-02-05,"[64, 740, 836, 782, 20, 788, 758, 797]",18
750,העבודה,2012-12-09,2012-12-09,"[64, 740, 836, 105, 782, 20, 788, 758, 797]",18
748,הליכוד,2012-09-17,2013-02-05,"[768, 1, 9, 14, 823, 695, 825, 826, 827, 828, 829, 830, 831, 69, 70, 723, 212, 725, 88, 856, 90, 731, 734, 738, 230, 114, 122]",18
748,הליכוד,2012-09-16,2012-09-16,"[768, 1, 9, 14, 823, 824, 695, 825, 826, 827, 828, 829, 830, 831, 69, 70, 723, 212, 725, 88, 856, 90, 731, 734, 738, 230, 114, 122]",18
751,קדימה,2012-08-17,2013-02-05,"[772, 774, 8, 776, 781, 804, 809, 810, 817, 818, 819, 820, 821, 822, 720, 848, 850, 851, 724, 852, 853, 727, 728, 854, 855, 91, 735, 119]",18
751,קדימה,2012-05-18,2012-08-16,"[771, 772, 774, 8, 776, 781, 804, 809, 810, 817, 818, 819, 820, 821, 822, 720, 848, 850, 851, 724, 852, 853, 727, 728, 854, 855, 91, 735, 119]",18
751,קדימה,2012-05-17,2012-05-17,"[771, 772, 774, 8, 776, 781, 804, 809, 810, 817, 818, 819, 820, 821, 822, 720, 848, 850, 851, 724, 852, 853, 727, 728, 854, 855, 91, 735, 96, 119]",18
751,קדימה,2012-05-04,2012-05-16,"[771, 772, 774, 8, 776, 781, 804, 809, 810, 817, 818, 819, 820, 821, 822, 720, 848, 850, 851, 724, 852, 853, 727, 728, 855, 91, 735, 96, 119]",18
751,קדימה,2012-05-03,2012-05-03,"[771, 772, 774, 8, 776, 781, 804, 809, 810, 817, 818, 819, 820, 821, 822, 720, 848, 850, 851, 724, 213, 852, 727, 728, 853, 855, 91, 735, 96, 119]",18
762,העצמאות ,2012-02-15,2013-02-05,"[812, 717, 849, 123, 28]",18
762,העצמאות ,2012-02-14,2012-02-14,"[204, 717, 812, 849, 123, 28]",18
751,קדימה,2012-01-26,2012-05-02,"[771, 772, 774, 8, 776, 781, 804, 809, 810, 817, 818, 819, 820, 821, 822, 720, 848, 850, 851, 724, 213, 852, 727, 728, 855, 91, 735, 96, 119]",18
751,קדימה,2012-01-25,2012-01-25,"[771, 772, 774, 8, 776, 781, 804, 809, 810, 817, 818, 819, 820, 821, 822, 720, 848, 850, 851, 724, 213, 852, 727, 728, 855, 730, 91, 735, 96, 119]",18
749,מרצ,2011-03-26,2013-02-05,"[200, 201, 843]",18
749,מרצ,2011-03-25,2011-03-25,"[200, 201, 843, 5]",18
751,קדימה,2011-03-19,2012-01-24,"[771, 772, 774, 8, 776, 781, 804, 809, 810, 817, 818, 819, 820, 821, 822, 720, 848, 850, 851, 724, 213, 727, 728, 855, 730, 91, 735, 96, 119]",18
751,קדימה,2011-03-18,2011-03-18,"[771, 772, 774, 8, 776, 781, 16, 804, 809, 810, 817, 818, 819, 820, 821, 822, 720, 848, 850, 851, 724, 213, 727, 728, 855, 730, 91, 735, 96, 119]",18
746,יהדות התורה,2011-02-07,2013-02-05,"[35, 839, 814, 754, 216]",18
746,יהדות התורה,2011-02-06,2011-02-06,"[35, 103, 839, 814, 754, 216]",18
750,העבודה,2011-01-18,2012-12-08,"[64, 740, 836, 105, 782, 20, 758, 797]",18
762,העצמאות ,2011-01-17,2012-02-13,"[204, 717, 849, 123, 28]",18
751,קדימה,2010-11-10,2011-03-17,"[771, 772, 774, 8, 776, 781, 16, 804, 809, 810, 817, 818, 819, 820, 821, 822, 720, 848, 850, 724, 213, 727, 728, 855, 730, 91, 735, 96, 119]",18
751,קדימה,2010-11-09,2010-11-09,"[771, 772, 774, 8, 776, 781, 16, 804, 809, 810, 45, 817, 818, 819, 820, 821, 822, 720, 848, 850, 724, 213, 727, 728, 855, 730, 91, 735, 96, 119]",18
750,העבודה,2010-04-14,2011-01-17,"[64, 740, 836, 105, 204, 717, 782, 849, 20, 758, 123, 28, 797]",18
750,העבודה,2010-04-13,2010-04-13,"[64, 740, 836, 105, 204, 717, 782, 849, 20, 758, 697, 123, 28, 797]",18
750,העבודה,2010-01-11,2010-04-12,"[64, 740, 836, 105, 204, 717, 782, 849, 20, 697, 123, 28, 797]",18
750,העבודה,2010-01-10,2010-01-10,"[64, 100, 740, 836, 105, 204, 717, 782, 849, 20, 697, 123, 28, 797]",18
751,קדימה,2009-07-03,2010-11-08,"[771, 772, 774, 8, 776, 781, 16, 804, 809, 810, 45, 817, 818, 819, 820, 821, 822, 720, 848, 724, 213, 727, 728, 855, 730, 91, 735, 96, 119]",18
751,קדימה,2009-07-02,2009-07-02,"[771, 772, 774, 8, 776, 781, 16, 804, 809, 810, 45, 817, 818, 819, 820, 821, 822, 720, 848, 724, 213, 727, 728, 855, 730, 91, 735, 96, 115, 119]",18
742,האיחוד הלאומי,2009-02-24,2013-02-05,"[752, 713, 840, 841]",18
743,הבית היהודי,2009-02-24,2013-02-05,"[194, 845, 847]",18
744,"בל""ד",2009-02-24,2013-02-05,"[756, 846, 807]",18
745,"חד""ש",2009-02-24,2013-02-05,"[789, 842, 780, 197]",18
747,ישראל ביתנו,2009-02-24,2013-02-05,"[832, 833, 802, 834, 835, 805, 837, 838, 77, 78, 785, 786, 214, 790, 793]",18
752,"רע""מ-תע""ל",2009-02-24,2013-02-05,"[208, 800, 844, 13]",18
753,"ש""ס",2009-02-24,2013-02-05,"[65, 7, 206, 751, 784, 50, 210, 791, 795, 222, 63]",18
748,הליכוד,2009-02-24,2012-09-15,"[768, 1, 9, 14, 823, 824, 695, 825, 826, 827, 828, 829, 830, 831, 69, 70, 723, 212, 725, 88, 90, 731, 734, 738, 230, 114, 122]",18
749,מרצ,2009-02-24,2011-03-24,"[200, 843, 5]",18
746,יהדות התורה,2009-02-24,2011-02-05,"[35, 839, 103, 814, 216]",18
750,העבודה,2009-02-24,2010-01-09,"[64, 100, 740, 836, 105, 204, 717, 782, 20, 697, 123, 28, 797]",18
751,קדימה,2009-02-24,2009-07-01,"[771, 772, 774, 8, 776, 781, 16, 804, 809, 810, 45, 817, 818, 819, 820, 821, 822, 720, 724, 213, 727, 728, 855, 730, 91, 735, 96, 115, 119]",18
632,יהדות התורה,2009-01-27,2009-02-24,"[35, 103, 43, 814, 816, 216]",17
640,מרצ,2008-11-05,2009-02-24,"[66, 5, 201, 203, 815]",17
640,מרצ,2008-11-04,2008-11-04,"[66, 5, 201, 203, 815, 18]",17
702,צדק לזקן,2008-10-28,2009-02-24,[803],17
634,גיל,2008-10-27,2009-02-24,"[803, 777, 787, 794, 796, 799]",17
722,הדרך הטובה,2008-10-27,2009-02-24,[798],17
632,יהדות התורה,2008-08-01,2009-01-26,"[35, 103, 43, 814, 112, 216]",17
624,עבודה,2008-07-03,2009-02-24,"[64, 704, 100, 740, 105, 779, 204, 717, 782, 812, 813, 20, 788, 758, 792, 697, 123, 220, 797]",17
634,גיל,2008-06-03,2008-10-26,"[777, 794, 796, 799]",17
702,צדק לזקן,2008-06-02,2008-10-27,"[803, 787, 798]",17
624,עבודה,2008-05-29,2008-07-02,"[64, 704, 100, 740, 741, 105, 779, 204, 717, 782, 812, 813, 20, 788, 758, 792, 697, 123, 220, 797]",17
624,עבודה,2008-05-28,2008-05-28,"[779, 782, 20, 788, 792, 797, 812, 813, 697, 64, 704, 204, 717, 220, 94, 100, 740, 741, 105, 758, 123]",17
628,"ש""ס",2008-04-28,2009-02-24,"[65, 7, 811, 206, 751, 784, 50, 210, 791, 795, 222, 63]",17
628,"ש""ס",2008-04-27,2008-04-27,"[65, 7, 811, 206, 751, 784, 50, 210, 791, 25, 795, 222, 63]",17
622,קדימה,2008-02-10,2009-02-24,"[768, 770, 3, 771, 772, 774, 8, 776, 16, 804, 808, 809, 42, 810, 45, 58, 720, 724, 213, 727, 728, 89, 730, 91, 735, 96, 115, 119, 767]",17
622,קדימה,2007-09-28,2008-02-09,"[768, 770, 3, 771, 772, 773, 774, 8, 776, 16, 804, 808, 809, 42, 45, 58, 720, 724, 213, 727, 728, 89, 730, 91, 735, 96, 115, 119, 767]",17
622,קדימה,2007-09-27,2007-09-27,"[768, 769, 770, 3, 771, 772, 773, 774, 8, 776, 16, 804, 808, 809, 42, 45, 58, 720, 724, 213, 727, 728, 89, 730, 91, 735, 96, 115, 119, 767]",17
622,קדימה,2007-06-14,2007-09-26,"[768, 769, 770, 3, 771, 772, 773, 774, 8, 776, 16, 804, 808, 42, 45, 58, 720, 724, 213, 727, 728, 89, 730, 91, 735, 96, 115, 119, 767]",17
622,קדימה,2007-06-13,2007-06-13,"[768, 769, 770, 3, 771, 772, 773, 774, 8, 776, 16, 804, 808, 42, 45, 58, 720, 724, 213, 727, 728, 89, 730, 91, 735, 96, 104, 115, 119, 767]",17
626,"בל""ד",2007-04-25,2009-02-24,"[756, 757, 807]",17
690,ליכוד,2007-02-28,2009-02-24,"[1, 69, 70, 122, 9, 114, 212, 725, 695, 90, 731, 734]",17
690,ליכוד,2007-02-27,2007-02-27,"[1, 69, 70, 122, 9, 114, 212, 725, 695, 90, 731, 734, 223]",17
638,ישראל ביתנו,2007-01-17,2009-02-24,"[801, 802, 805, 781, 78, 785, 786, 214, 790, 793, 764]",17
638,ישראל ביתנו,2007-01-16,2007-01-16,"[801, 802, 805, 781, 78, 785, 786, 214, 790, 793, 121, 764]",17
690,ליכוד,2006-11-22,2007-02-26,"[69, 70, 122, 9, 114, 212, 725, 695, 90, 731, 734, 223]",17
690,ליכוד,2006-11-21,2006-11-21,"[223, 69, 70, 122, 9, 114, 212, 725, 695, 90, 731, 734, 127]",17
632,יהדות התורה,2006-07-31,2008-07-31,"[35, 103, 43, 814, 783, 112, 216]",17
622,קדימה,2006-04-29,2007-06-12,"[768, 769, 770, 3, 771, 772, 773, 774, 8, 776, 16, 804, 42, 45, 58, 720, 724, 213, 727, 728, 89, 730, 91, 735, 96, 104, 115, 119, 767]",17
622,קדימה,2006-04-28,2006-04-28,"[768, 769, 770, 3, 771, 772, 773, 774, 8, 775, 776, 16, 804, 42, 45, 58, 720, 724, 213, 727, 728, 89, 730, 91, 735, 96, 104, 115, 119, 767]",17
626,"בל""ד",2006-04-25,2007-04-24,"[757, 756, 29, 807]",17
630,"חד""ש",2006-04-17,2009-02-24,"[789, 780, 197]",17
636,"רע""מ-תע""ל",2006-04-17,2009-02-24,"[208, 778, 800, 13]",17
642,"איחוד לאומי-מפד""ל",2006-04-17,2009-02-24,"[194, 73, 713, 715, 12, 46, 752, 92, 30]",17
640,מרצ,2006-04-17,2008-11-03,"[66, 5, 201, 203, 18]",17
634,גיל,2006-04-17,2008-06-02,"[803, 777, 787, 794, 796, 798, 799]",17
624,עבודה,2006-04-17,2008-05-27,"[64, 704, 100, 740, 741, 105, 779, 204, 717, 782, 813, 20, 788, 758, 792, 697, 123, 220, 797, 94]",17
628,"ש""ס",2006-04-17,2008-04-26,"[65, 7, 206, 751, 784, 50, 210, 791, 25, 795, 222, 63]",17
638,ישראל ביתנו,2006-04-17,2007-01-15,"[801, 802, 781, 78, 785, 786, 214, 790, 793, 121, 764]",17
690,ליכוד,2006-04-17,2006-11-20,"[223, 69, 70, 122, 9, 114, 725, 695, 90, 731, 734, 127]",17
632,יהדות התורה,2006-04-17,2006-07-30,"[35, 103, 43, 783, 112, 216]",17
622,קדימה,2006-04-17,2006-04-27,"[768, 769, 770, 3, 771, 772, 773, 774, 8, 775, 776, 16, 42, 45, 58, 720, 724, 213, 727, 728, 89, 730, 91, 735, 96, 104, 115, 119, 767]",17
626,"בל""ד",2006-04-17,2006-04-24,"[757, 756, 29]",17
44,"ש""ס",2006-03-26,2006-04-17,"[65, 37, 7, 206, 207, 751, 50, 210, 25, 222, 63]",16
44,"ש""ס",2006-03-25,2006-03-25,"[65, 228, 37, 7, 206, 207, 751, 50, 210, 25, 222, 63]",16
502,העבודה-מימד-עם אחד,2006-02-16,2006-04-17,"[20, 22, 697, 64, 704, 204, 205, 717, 220, 94, 100, 740, 741, 105, 755, 758, 761, 762, 123, 766, 763]",16
502,העבודה-מימד-עם אחד,2006-02-15,2006-02-15,"[20, 22, 697, 64, 704, 204, 205, 717, 220, 94, 100, 740, 741, 105, 755, 758, 761, 762, 123, 765, 766, 763]",16
502,העבודה-מימד-עם אחד,2006-02-09,2006-02-14,"[20, 22, 697, 64, 704, 204, 205, 717, 220, 94, 100, 740, 741, 105, 755, 758, 761, 762, 123, 765, 763]",16
50,"חד""ש-תע""ל",2006-02-08,2006-04-17,[197],16
590,ישראל ביתנו,2006-02-08,2006-04-17,"[121, 209, 764, 750]",16
502,העבודה-מימד-עם אחד,2006-02-08,2006-02-08,"[20, 22, 697, 64, 704, 204, 205, 78, 717, 220, 94, 100, 740, 741, 105, 755, 758, 761, 762, 123, 765, 763]",16
602,"תע""ל - התנועה הערבית להתחדשות",2006-02-07,2006-04-17,[208],16
604,"חד""ש - החזית הדמוקרטית לשלום ולשוויון",2006-02-07,2006-04-17,"[218, 197]",16
564,הסיעה החילונית,2006-02-06,2006-04-17,"[98, 196, 742, 743, 744, 745, 747, 759, 217]",16
586,הבית הלאומי,2006-02-05,2006-04-17,"[749, 54]",16
43,שינוי ,2006-02-02,2006-04-17,"[744, 746, 748]",16
584,האיחוד הלאומי מולדת-תקומה,2006-02-01,2006-04-17,"[752, 713, 12, 46]",16
582,"ח""כ יחיד - מיכאל נודלמן",2006-02-01,2006-02-08,[89],16
590,ישראל ביתנו,2006-02-01,2006-02-07,"[121, 209, 750]",16
45,האיחוד הלאומי-ישראל ביתנו מולדת-תקומה,2006-02-01,2006-02-01,"[121, 713, 12, 46, 750, 752, 209, 89]",16
588,העולים,2006-02-01,2006-02-01,[750],16
502,העבודה-מימד-עם אחד,2006-01-28,2006-02-07,"[20, 22, 697, 64, 704, 204, 205, 78, 717, 220, 94, 100, 740, 741, 105, 755, 758, 761, 762, 123, 763]",16
43,שינוי ,2006-01-27,2006-02-01,"[744, 746, 748, 750]",16
502,העבודה-מימד-עם אחד,2006-01-27,2006-01-27,"[64, 704, 100, 740, 741, 105, 204, 205, 78, 717, 755, 20, 761, 22, 758, 697, 762, 123, 220, 94]",16
564,הסיעה החילונית,2006-01-26,2006-02-05,"[98, 196, 742, 743, 744, 745, 747, 749, 54, 759, 217]",16
502,העבודה-מימד-עם אחד,2006-01-25,2006-01-26,"[20, 22, 697, 62, 64, 704, 204, 205, 78, 717, 220, 94, 100, 740, 741, 105, 755, 758, 761, 762, 123]",16
502,העבודה-מימד-עם אחד,2006-01-23,2006-01-24,"[64, 704, 100, 740, 741, 105, 204, 205, 78, 717, 697, 20, 755, 22, 758, 761, 94, 123, 220, 62]",16
502,העבודה-מימד-עם אחד,2006-01-18,2006-01-22,"[20, 22, 697, 59, 62, 64, 704, 204, 205, 78, 717, 220, 94, 100, 740, 741, 105, 755, 758, 761, 123]",16
